A17.B002431.3_39_F.1.1	-3431.416016	6380.417969	-8564.877930	2254.864990	-2833.473633	-2703.138428	4486.059570	122.792130	-1407.910767	-1512.501221	5271.566895	11380.960938	-1250.855957	6894.293457	1634.449463	2192.298828	2862.943848	-6191.623047	3762.036865	-3841.684570	373.400726	3083.042725	-1258.831299	-2466.499512	-5878.883789	-9982.798828	380.423157	10869.549805	-4723.233398	5219.794922	-7845.255859	-10835.912109
A17.MAA000594.3_8_M.1.1	-388.277893	1147.892700	-2392.716309	-408.397247	-1216.002319	-1239.636230	1746.457764	506.017426	-362.024872	548.059631	1334.952026	3163.432373	-196.198730	2322.069580	1369.924927	1060.907349	1395.280273	-892.308472	1491.584351	-843.879822	-1105.063232	630.282349	335.450653	-27.560150	-691.896240	-2546.703125	298.868225	2414.041504	-1717.727417	521.709167	-1237.188965	-2836.083496
A17.MAA000906.3_11_M.1.1	1.874420	130.103561	-361.892944	114.719528	-223.651611	-158.966736	324.641754	144.287750	-184.360474	197.277695	345.718933	538.844177	-55.145061	270.607025	184.505875	222.447723	126.762688	-154.440125	301.669830	-126.613770	-191.699478	57.734177	33.141953	4.751764	-144.151657	-449.687775	-168.028381	345.522430	-346.657745	106.418747	-183.925583	-367.626068
A17.MAA000908.3_10_M.1.1	51.467213	168.911423	-616.100891	280.840454	-343.396545	-130.058762	450.031525	206.858917	-390.231506	423.679260	762.768555	880.100525	-170.091187	294.112366	375.553436	373.333282	49.930161	-393.360687	555.152954	-196.325012	-330.852142	49.070992	74.668831	11.593835	-358.325165	-875.733276	-550.517029	614.006104	-587.024414	287.073761	-315.830017	-574.253906
A18.B002431.3_39_F.1.1	-1272.113525	2012.880615	-2426.087158	1477.988159	-618.372009	-712.632385	899.028748	-289.178467	-824.872498	-294.308563	1827.887939	3049.955078	-437.724121	1953.974609	-348.240173	83.681686	-367.423553	-2161.874023	755.172791	-1220.136108	766.897217	1046.160522	-75.458717	-1798.148926	-2291.472168	-3805.751221	-944.992249	3678.543213	-1027.881470	2294.459717	-2361.994141	-3574.017822
A18.MAA000908.3_10_M.1.1	-98.942291	347.468414	-764.944214	98.543114	-373.817261	-288.971802	543.029358	172.949371	-279.217499	307.287262	681.023193	1102.917480	-172.747589	682.750854	467.391266	396.271057	268.424164	-354.525879	571.343262	-231.663544	-398.444031	217.467255	80.305756	-40.790184	-415.972565	-998.430420	-256.504272	831.122620	-605.479126	313.895630	-474.849487	-931.773071
A19.MAA000595.3_9_M.1.1	-210.698166	437.353851	-1005.037720	-161.524963	-603.166626	-536.114807	883.596558	207.583145	-165.531128	253.465439	598.799988	1392.837280	-17.323317	1170.008667	510.633514	424.273895	590.288513	-270.363068	603.421143	-405.978577	-375.782135	219.042664	197.521637	-127.122383	-348.721466	-1260.267456	98.717789	1067.221802	-698.787048	284.112640	-517.052917	-1398.614990
A20.B002431.3_39_F.1.1	-5555.783203	10858.296875	-14055.279297	2483.741699	-3514.809570	-5314.472168	6585.683594	414.776550	-2132.330811	-2084.307373	7286.968750	18004.248047	-2446.294922	12785.994141	3621.221924	5084.146484	6411.778320	-9749.791016	5304.649414	-5256.074707	-369.766663	6279.572266	-2239.721191	-4985.140137	-8069.229492	-17132.691406	2854.029541	17900.068359	-8023.080078	7618.882324	-12753.228516	-17391.394531
A20.MAA000594.3_8_M.1.1	-140.132126	566.931946	-946.012573	-204.580841	-465.014526	-514.376282	619.102356	200.109390	-104.555466	174.721634	451.312744	1202.707520	-112.929001	927.277527	539.877380	463.050079	497.491699	-297.124390	508.515564	-294.106293	-394.002777	280.497284	54.564949	-87.627716	-251.465134	-982.971863	279.381470	1009.354675	-574.157104	206.949249	-508.492828	-1084.112183
A20.MAA000595.3_9_M.1.1	-3.001337	276.406006	-435.378326	120.918808	-337.181641	-323.023438	470.862396	211.921539	-300.456055	133.459457	611.857971	789.434326	-49.826981	383.444153	291.274170	16.437628	119.877106	-204.157578	557.717590	-356.549347	-185.526581	129.218567	222.501297	-117.338081	-303.395569	-611.388367	-320.971161	517.337280	-500.691498	211.251389	-201.852478	-848.208191
